Sıra No;Kitap Adı;Yazar Adı;Özgün Adı;Çevirmen;Serideki Yayın Yılı;Tanıtım Bülteni
86;"Tohumdan Hasada";"Octavia E. Butler";"Seed to Harvest";"Pırıltı Onukar";2023;"Yalnızca kaleminin kuvveti değil aynı zamanda muhalif duruşu, ırk ve cinsiyet eşitsizliğine karşı tepkisiyle de döneminin en mühim figürlerinden biri olan tarihteki ilk kadın siyah bilimkurgu yazarlarından Octavia E. Butler, hem bilimkurguda hem de Afroamerikan edebiyatında bir dönüm noktası. Örüntücüler Dörtlemesi'ni oluşturan, yazarın reddettiği biri hariç tüm kitaplarını bir araya getiren Tohumdan Hasada ise Butler'ın kimlik ve dönüşüm temalarının kök bulduğu eser.

On yedinci yüzyıl Afrika'sında şekil değiştirebilen, iyileştirici güçlere sahip Anyanwu, güçlü ve yıkıcı bir varlık olan Doro'yla karşılaşır. Yüzyıllardır başkalarının bedenini çalarak hayatta kalan Doro kendi psişik insan türünü yaratmanın peşinde tüm dünyaya tohumlarını saçmaktadır.Doro'nun nasıl bir tiran olduğunu anlayan Anyanwu onda hem en büyük düşmanını hem de en yakın dostunu bulacaktır. Birbirinin yüreğine farklı sebeplerle korku salan bu ikiliyi, her nesilde yeni bir zorluk beklemektedir. Doro'nun mükemmelliğe en yaklaştığı kızı Mary, babasının planlarını öğrendiğinde kendisi gibileri özgürleştirmek ve insanlığa yeni bir rota çizmek için ona meydan okuyacak fakat bu rota, uzaydan gelen ve insanları değiştiren bir hastalıkla sınandığında kontrolden çıkacaktır.

İnsanlığın geleceği bir tasarıya göre şekillenebilir mi? Kurtuluş tohumunun kendi başına filizlenmesi mümkün mü?

Tohumdan Hasada, medeniyetin nasıl dönüştüğünün mitik hikâyesi."
87;"Mümkünatı Yok";"Sinclair Lewis";"It Can't Happen Here";"Deniz Daruga";2023;"İki dünya savaşı arasındaki dönemin eleştirel yaklaşımıyla ünlü yazarı Sinclair Lewis, modern toplumsal gidişatı erkenden çözümleyip teşhis eden, akıl ve mizah dolu yaratıcılığıyla Nobel Ödülü'ne layık görülen bir yazar. En önemli eserlerinden Mümkünatı Yok ise dönemi için bir alternatif gelecek sunan ve sunduğu karamsar gelecek gerçekleşen ender alternatif tarih romanlarından biri.

1930'ların sonu yaklaşırken Avrupa savaşa, ABD ise başkanlık seçimine gidiyor. Demokrasi ve özgürlükler tüm dünyada ayaklar altında ve ""Özgürlüğün Ülkesi""nin de geleceği eskisi kadar güvende görünmüyor. Herkesin aklında aynı korku, aynı soru: Faşizm bizim ülkemizde de galip gelebilir mi? Sıkı bir siyasi liberal olan gazeteci Doremus Jessup'ın aklıselime inancı tam olduğundan cevabı belli: Mümkünatı yok!

Ama süreç başka türlü işliyor, kim bilir kaçıncı defa tekerrür eden tarihin sahnesi bir tirana kalıyor. Bir kader seçiminin eşiğindeki ülkesini alternatif fakat çok da imkânsız olmayan, karanlık bir gelecekle yüzleştiren Sinclair Lewis, Mümkünatı Yok'ta demokrasiye neden ihtiyaç duyduğumuzu bir kere daha hatırlatıyor.

En güçlü ve gözü pek idealistlerin, insanlığın gelişiminin en büyük yaratıcıları olmak yerine onun en kötü düşmanları olmaları mümkün mü?

Mümkünatı Yok, eşikteki tehlikeye dair küçük bir uyarı."
88;"İnsanlığın Çocukları";"P. D. James";"The Children of Men";"Gökçe Metin";2023;"Ödüllü yazar P. D. James, Agatha Christie sonrası İngiliz polisiye edebiyatının Ruth Rendell'la birlikte en büyük iki isminden biri, namı diğer Polisiyenin Kraliçesi. Yönetmen Alfonso Cuarón tarafından 2008 yılında beyaz perdeye uyarlanan İnsanlığın Çocukları ise distopya türünün en iyi örneklerinden.

İnsan ırkı kısırlaşmış, son nesil ise artık yaşlanmaya başlamıştır. Gelecekten beklentisi olmayan ve kendilerinin yaşayan son insanlar olduğunu bilen toplumlarda intihar ve suç oranı arttıkça uygarlık yıldan yıla çökmeye başlar. Bir sabah tüm haber kanallarında dünyanın en genç insanının hayatını kaybettiği duyurulunca insanlar kalan son umutlarını da yitirirler.

İngiltere ise Xan Lyppiatt'ın despot yönetimi altındadır. Lyppiatt'ın tarihçi kuzeni Theo Faren, bu meşum atmosferde yalnız ve umursamaz bir hayat sürmeye çalışıyordur… ta ki Julian adındaki genç bir kadınla ""tesadüfi"" karşılaşması onu bir grup isyancı muhalifle temasa geçirene kadar. Faren'ın hayatı birdenbire geri dönülmez bir şekilde değişir. Vereceği kararlar ise insan ırkının geleceğini derinden etkileyecektir.

İnsanlığın sonu ile Dünya'nın sonu apayrı şeyler olabilir mi?

İnsanlığın Çocukları, geleceği yok olmanın eşiğinde bir ırkın acı portresi."
89;"Yol İşaretleri";"Roger Zelazny";"Roadmarks";"Taylan Taftaf";2023;"Roger Zelazny, farklı mitolojileri bilimkurgu romanlarına uyarlamasıyla pek çok yazarın yalnızca hayal edebildiği bir şeyi alışkanlık hâline getirmiş eşsiz bir yazar. Yol İşaretleri ise kısmen fantastik öğeler içeren deneysel bir bilimkurgu romanı.

Red Dorakeen, kendisinin de bir başkasının da hatırlayamayacağı kadar uzun zamandır Yol'daydı. Çok uzun zaman önce yaşlı bir adam olarak Yol'da yürümüştü. Şimdi ise çok daha gençti. Mavi renkli hurda Dodge pikabıyla antik dönem Maraton'unda istilacı Perslerle savaşan Yunanlara silah taşıyor, yolda Hitler'le ve de Sade'la tartışmalara giriyor, zamanda bir ileri bir geri durmaksızın yolculuk ediyordu.

Şimdiyse biri Red'i öldürmek için on girişimin düzenleneceğine dair Yol'u yöneten yasalara göre resmi bir beyanda bulunmuştu. Gizli düşmanı, (çok tehlikeli bir keşişten bir Tiranozor'a kadar uzanan çeşitlilikte, insan veya diğer türlerde) suikastçılar tutmak için geçmişi ve geleceği tarıyordu. Red'in peşini bırakmayacaklardı, Yol onu nereye götürürse götürsün.

Yol İşaretleri, zamanlar arası bir kendini keşif yolculuğu."
90;"Dinozor Öyküleri";"Ray Bradbury";"Dinosaur Tales";"Elif Ersavcı";2023;"Ray Bradbury sadece bilimkurgunun değil fantastik edebiyatın ve korkunun da yirminci yüzyıldaki ustalarından biri. Bilimkurgunun ""iyi edebiyat"" da olabileceğini kanıtlayan belki de ilk yazar. 1983'te yayımlanan Dinozor Öyküleri, her yaşa hitap eden farklı türlerde dört öykü ile iki şiir içeriyor.

Tarihöncesi çağlara safari düzenleyen bir şirket, yavaş yavaş dinozora dönüşen bir çocuk, bir deniz fenerini saplantı hâline getiren uzak zamanlardan bir canavar, beyaz perdeden çıkıp günlük hayata karışan dinozorlar…

""Sis Düdüğü"" ve ""Bir Gök Gürültüsü Sesi"" gibi çok sevilen iki öyküyü de içeren derlemede Bradbury hataları, başarısızlıkları, intikam arzuları ve hayalleri olan sıradan insanların –ve dinozorların– olağanüstü hikâyelerini anlatıyor.

Bugüne bakabilmek için ne kadar geçmişe gitmek gerekir? Bir dünyanın kaderi bir kelebeğin kanatlarının rüzgârıyla değişebilir mi gerçekten?

Dinozor Öyküleri, tarihöncesinden uzak geleceğe yankılanan bir gök gürültüsü sesi."
91;"Şimdi ve Daima";"Ray Bradbury";"Now and Forever";"Kemal Baran Özbek";2023;"Ray Bradbury sadece bilimkurgunun değil fantastik edebiyatın ve korkunun da yirminci yüzyıldaki ustalarından biri. Bilimkurgunun ""iyi edebiyat"" da olabileceğini kanıtlayan belki de ilk yazar. 2007'de yayımlanan ve iki kısa romanı bir araya getiren Şimdi ve Daima, Bradbury'ye niçin düzyazının şairi dendiğini kanıtlar nitelikte bir kitap.

""Bir Yerlerde Bir Müzik Çalıyor""da James Cardiff, okuduğu şiirler ve gördüğü rüyalar tarafından yavaş yavaş küçük çocukların sokakta oynamadığı ve sakinlerinin asla yaşlanmadığı, gözlerden uzak bir kasabaya çekilir. Kasabanın şairane güzelliğinden ve bir Mısır kraliçesinin adını taşıyan hoş, esrarengiz bir kadından büyülenen James, acımasız bir yıkım yaklaşırken kasabanın gizemlerini ortaya çıkarmak için elinden geleni yapacaktır.

""Leviathan '99""da acemi astronot Ishmael Hunnicut Jones, Cetus 7'ye binerek kaderini bir kuyrukluyıldızı saplantı hâline getiren amansız bir delinin ellerine bırakır. Gezegenler arasında gezinen mürettebat ise bu yolculukta ilahi bir yargıyla ve evrendeki en korkunç düşmanla yüzleşecektir: Zamanla.

Şimdi ve Daima, Amerika'nın önde gelen hikâye anlatıcısının eşsiz yeteneğinin nefes kesici çeşitliliğini ve zihninin, ruhunun ve kalbinin bastırılamaz canlılığını gözler önüne seriyor.

Şimdi ve Daima, ustadan ustalara saygı duruşu."
92;"İnsandan Öte";"Theodore Sturgeon";"More Than Human";"Sanem Erdem";2024;"""Bizi kimse yaratmadı. Evrimleşerek bu hâle geldik. Bir sonraki aşamayız biz.""

Hugo ve Nebula ödüllü Theodore Sturgeon kaleme aldığı eserlerle bilimkurgu, fantezi ve korku türlerini derinden etkileyen, sıradışı bir yazar. Sturgeon'ın en önemli eseri kabul edilen İnsandan Öte ise özgürlük, ahlak ve aidiyet temalarını irdeleyen bir başyapıt.

Aptal Lone başkalarının düşüncelerini duyabiliyor ve sadece bakarak bir adamın beynini uçurabiliyor. Janie eşyalara dokunmadan onları hareket ettirebiliyor. İkizler kilometrelerce uzağa ışınlanabiliyor. Bebek ise bir süper bilgisayar beynine sahip. Her biri ayrı ayrı yetenekli ucubeler ama bir araya geldiklerinde evrimdeki bir sonraki aşamayı temsil edebilecek tek bir organizmayı oluşturuyorlar.

Bu gruba çok güçlü bir telepat olan Gerry katılınca işler tehlikeli bir vaziyet almaya başlıyor. Ahlaki bir pusuladan yoksun olan Gerry'nin kendisini reddeden dünyaya duyduğu nefret belki de ""evrimdeki bir sonraki aşama""yı uygarlığın sonunun habercisi hâline getirecek.

""Bilimkurguda daha önce görülmeyen birçok şeyi Sturgeon sayesinde gördük."" —Robert Silverberg"
93;"Ölüme Yazgılı Şehir";"Arkadi ve Boris Strugatski";"Grad Obrechennyi";"Hazal Yalın";2024;"Arkadi ve Boris Strugatski, entelektüel açıdan kışkırtıcı, inanılmaz eğlenceli, cesur ve eleştirel kitaplarıyla ""Sovyetler döneminin en büyük bilimkurgu yazarları"" sıfatını hak eden yegâne ikili. 1972'de tamamlanan ama ""tehlikeli fikirlerle"" dolu olduğu için ancak 80'lerin sonunda yayımlanabilen Ölüme Yazgılı Şehir ise birçokları tarafından yazarların magnum opusu kabul ediliyor.

Sabahları güneşin bir tuşa basılarak açıldığı ve geceleri kapandığı, bir tarafı uçurum, diğer tarafı ise inanılmaz yükseklikte bir duvarla çevrili gizemli bir şehir... Deney adındaki bu şehrin sakinleri farklı tarihlerden ve farklı mekânlarından koparılmış, Deney'de kendi kendilerini yönetmeye bırakılmış insanlardır ve amaçları şüpheli görünen Mentorlar tarafından yönlendirilmektedirler.

1950'lerin Leningrad'ından getirilen genç bir astronom, Andrey Voronin, şehirdeki ilk işi çöp toplayıcılığı olmasına rağmen Deney'e yürekten inanmaktadır. Andrey en yakın arkadaşının intiharından sonra sarsılacak, uzaylı olduklarını düşündüğü Mentorların kökenini ve amaçlarını öğrenmek için tehlikeli bir yolculuğa çıkacaktır.

Yönetici sınıfın olmadığı bir medeniyet mümkün mü? İnsanlar kendileriyle baş başa kalabilir mi gerçekten?"
94;"2010: İkinci Uzay Destanı";"Arthur C. Clarke";"2010: Odyssey Two";"Burcu Denizci";2024;"""Galakside cesur bir gezinti ve 2001: Bir Uzay Destanı'na layık bir devam kitabı."" —Carl Sagan

Arthur C. Clarke, bilimi edebiyatla eşsizce birleştiren, bilimkurgunun üç büyük usta­sından biri. İnsanın evrimini, yapay zekânın gelişimini ve uzay yolculuğunu konu edinen 2001: Bir Uzay Destanı'nın büyüleyici de­vam kitabı 2010: İkinci Uzay Destanı ise ga­laksinin derinliklerine gizemli bir yolculuk.

Jüpiter ve monoliti çevreleyen gizemli olay­dan yıllar sonra Sovyet ve Amerikalı astro­notlar insanlığı temelden değiştirebilecek potansiyel cevaplar aramak üzere, Jüpiter'in uydularına ve Discovery'ye doğru yeni bir yolculuğa çıkarlar. Görevleri: monolitlerin bilmecesini çözmek ve HAL'ı mürettebatı öl­dürmeye sürükleyen koşulları anlamak.

Çinli bir keşif ekibi de aynı hedefe yöne­lir ve kurtarma görevini, Discovery'nin Jüpiter'in yörüngesindeki esrarengiz mo­nolit hakkında sahip olabileceği değerli bilgileri ele geçirmek için çılgınca bir yarışa dönüştürür.

Bu arada, bir zamanlar Dave Bowman ola­rak bilinen varlık –monolitin gizemini çözen tek insan– hayati bir görev için Dünya'ya doğru yola çıkar.

2010: İkinci Uzay Destanı, kozmik gizem­lerin ve insanın bitmeyen bilgi arayışının öyküsü."
95;"Ara İstasyon";"Clifford D. Simak";"Way Station";"Sevda Deniz Karali";2024;"Onu diğer birçok bilimkurgu yazarından ayıran pastoral, nazik bir üsluba sahip olan Clifford D. Simak, bilimkurgunun altın çağının ürettiği ilk üstatlardan biri. Simak'ın en ünlü eseri Ara İstasyon ise insanlığın galaksideki yerine dair çarpıcı bir anlatı.

Enoch Wallace yaşlanmayan bir münzeviydi, yüz yılı aşkın süredir aynı eski evde yaşıyordu ve hâlâ Amerikan İç Savaşı'nda kullandığı silahı taşıyordu. Dışarıdan alelade bir yapı gibi görünen evi ise Galaktik Merkez'in işlettiği yıldızlararası bir ara istasyondu.

Yüz yıldan daha uzun bir süre önce, Ulysses adında bir uzaylı Enoch'u Dünya'nın tek galaktik transfer istasyonunun bekçisi olarak işe almıştı. Enoch'un görevi yaptığı işi gizli tutmak ve galaksinin bir ucundan ötekine yolculuk eden uzaylı gezginleri evinde ağırlamaktı.

CIA bu gizemli adamın hayatına yakından bakmaya karar verince Enoch Wallace'ın sakin hayatı altüst olacak, bunun sonucunda Galaktik Merkez de Dünya istasyonunu kapatmayı tartışacaktı. Dünya gezegeni hem eli kulağında bir nükleer savaşla hem de galaksideki diğer uygarlıklar tarafından dışlanma tehlikesiyle karşı karşıyaydı. Enoch'un ise Dünya adına çok önemli bir seçim yapması gerekecekti."
96;"Zaman İçinde Bir Yer";"Richard Matheson";"Somewhere in Time";"Yiğit Yavuz";2024;"Richard Matheson korku, gerilim, fantastik ve bilimkurgu türlerinin en üretken ve en yaratıcı isimlerinden, yalnızca edebiyatta değil sinemada da ardılı sanatçıları hatırı sayılır derecede etkilemiş bir usta. Zaman İçinde Bir Yer ise bilimkurgu ile romantizmi harmanlayan, zamansız bir zaman yolculuğu hikâyesi.

80'li yıllar… Richard Collier, beyin tümörü teşhisi konmuş, son günlerini Hotel del Coronado'da geçirmeye karar veren 36 yaşında bir senaryo yazarıdır. Richard 1890'larda aynı otelde sahne alan ünlü tiyatro oyuncusu Elise McKenna'nın fotoğrafını gördükten sonra kadını takıntı hâline getirir ve otelde kalırken gizemli bir adamla kısa bir ilişki yaşadığını öğrenir. Zamanda geriye giderek o gizemli adam olmanın kaderi olduğuna inanan Richard zaman yolculuğu yapmanın yollarını arayacaktır.

Matheson'ın ""Muhtemelen yazdığım en iyi roman,"" dediği, 1980'de beyaz perdeye de uyarlanan Zaman İçinde Bir Yer, yazarın en özel kitaplarından biri. Zamanın amansız akışına karşı durmaya çalışan iki insanın heyecan dolu hikâyesi.

Bir gelecek yerine geçmişin hayali kurulabilir mi? Farklı bir zamanda aynı insan olmak mümkün mü?

Zaman İçinde Bir Yer, aşkın paradoks hâli."
97;"İçeriden Ölmek";"Robert Silverberg";"Dying Inside";"Elif Ersavcı";2024;"2004 yılında Amerika bilimkurgu yazarları­nın büyük üstadı seçilen, Hugo ve Nebula ödüllerinin gediklisi Robert Silverberg bi­limkurgu ve fantazi edebiyatının yaşayan en büyük isimlerinden biri. 1972'de yayım­lanan ve türe farklı bir pencereden ba­kan İçeriden Ölmek zengin, alaycı ve şiirsel diliyle Silverberg'ün başyapıtı.

Eşsiz bir yeteneğe, zihin okuma gücüne sahip David Selig bu yeteneğine rağmen alelade bir hayat sürüyordu. Kötülükle sa­vaşmıyor, dünyayı kurtarmıyor, üniversite öğrencileri için ödev yazarak para kazanıp boş zamanlarında insanların içini röntgen­liyordu.

Orta yaşlara yaklaştıkça Selig'in hiç bekle­mediği bir şey olmaya başlamıştı. Telepati gücünü yavaş yavaş kaybediyordu. Hayatı boyunca beyninin içinde başkalarının iç sesleri yankılanan Selig artık kendi zihni­nin sesini dinlemek zorunda kalacaktı, tıpkı diğer herkes gibi.

Yalnızlık, yas, iletişimin kaybı ve orta yaş bunalımı gibi konuları incelikle işleyen İçeriden Ölmek, iyi bilimkurgunun hangi seviyelere erişebileceğini gösteren nadir bir eser.

İçeriden Ölmek, insan olmanın ne demek olduğunu öğrenmek zorunda kalan bir süperinsanın acıklı hikâyesi."
98;"Yanan Krom";"William Gibson";"The Burning Chrome";"Sanem Erdem";2024;"William Gibson, adını bilimkurgu tarihine neon harflerle yazdırmış, siberpunk türünü âdeta tek başına var etmiş bir yazar. Neuromancer'ın öncesini anlatan öykülerin de bulunduğu Yanan Krom ise Gibson'ın romanları kadar güçlü bir öykü kitabı.

Birbirinden farklı siber dünyaların kesiştiği, kitaba adını da veren ""Yanan Krom"" öyküsü iki bilgisayar korsanının siberuzayda büyük bir soygun gerçekleştirme çabasını, ""Johnny Mnemonik"" hafızasında büyük miktarda veri taşıyan bir veri taşıyıcısının hayatta kalma mücadelesini, ""Gernsback Sürekliliği"" gelecekteki ütopyaların halihazırdaki topluma olan etkilerini, ""New Rose Oteli"" ise bir şirket tarafından ele geçirilmiş bir geleceği anlatıyor.

""İç Bölgeler"" uzayda kaybolmuş bir geminin mürettebatının yaşadıklarına odaklanırken ""Hologram Bir Gülden Parçalar"" bir adamın kaybolmuş bir aşkın ve onun holografik hatıralarının peşine düşmesini konu alıyor. ""Kış Pazarı"" ise gelecekteki bir dünyada, farklı gerçekliklerden gelen fantastik nesnelerin satıldığı bir pazarda geçiyor. Ayrıca William Gibson'ın John Shirley, Michael Swanwick ve Bruce Sterling'le birlikte yazdığı üç öykü daha bu kitapta kendine yer buluyor.

Yanan Krom, neon ışıklarıyla körleşen bir geleceğin tablosu."
99;"Zanzibar İstifi";"John Brunner";"Stand On Zanzibar";"Uğur Gülsün";2024;"Bilimkurgu yazınının başlıca kâhinlerinden biri olan John Brunner, aynı zamanda türün en deneysel ve yenilikçi eserlerine imza atmış bir yazar. ""Yeni Dalga"" bilimkurgunun bir ürünü olan Zanzibar İstifi ise, yalnızca bilimkurgu adasına sığamayacak kadar büyük ve 60'lardan günümüze seslenen bir başyapıt.

2010 yılında dünya, aşırı nüfus artışı yüzünden kaynaklarını tüketme noktasına gelmiştir. Devletler genetik mühendislik, doğum kontrolü ve baskıcı politikalarla hakimiyeti ellerinde tutmaya çalışırken bireyler bu yeni düzenin içinde var olma savaşı vermektedir.

Tüm bunlar olup biterken New York'ta iki oda arkadaşı dünyanın kaderini belirleyecek iki farklı göreve gönderilirler. Norman, neredeyse her şeyi üreten ve dünyanın en akıllı bilgisayarı Şalmaneser'in de sahibi General Technics şirketinde yöneticidir. Müslüman bir Afram olan Norman, Beninya adlı kurgusal Afrika ülkesine yapılacak devasa bir yatırımın danışmanlığıyla görevlendirilir.

Oda arkadaşı Donald Hogan ise bir ""profesyonel"" üniversite öğrencisidir. Hükümet tarafından sentezci olması için gizlice işe alınan Donald, gününün çoğunu kütüphanede güncel olayları okuyarak ve görünüşte ilgisiz olaylar arasında bağlantılar kurarak geçirmektedir. Fakat Hogan aslında bir casustur ve dünyayı değiştirecek bir teknolojinin peşinden Yatakang'a gidecektir.

Zanzibar İstifi, toplumsal çöküşün gözlem odası."
100;"Tehlikeli Görüler";"Harlan Ellison (Editör)";"Dangerous Visions";"Kolektif";2024;"60'lı yıllar… Bilimkurgu edebiyatının yıllardır ""lazer tabancalı adamların metal sutyenli kızları kurtardıkları"" kitaplarla dolup taştığı, tehlikeli görülen öykülerin ve romanların çok zor yayıncı bulabildiği vakitler. Genç Harlan Ellison bir şeylerin değişmesi gerektiğinin farkında, bazı kapıları tek tek çalıyor ve şu soruyu soruyor: ""Eğer tutuklanma ya da sansüre uğrama korkun olmasaydı nasıl bir bilimkurgu öyküsü yazardın?""

İşte bilimkurgunun gidişatını değiştiren Tehlikeli Görüler bu soruyla yola çıkıyor. Kitap yayımlanmadan bir süre önce ise köşe yazarları Ellison'ın ""tehlikeli"" kitabına öykü gönderen yazarların kariyerinin biteceğini yazmaktan geri durmuyor. Sonuç: Yeni Dalga Bilimkurgu; geleneksel olana meydan okuyan ve okurları oraya varana kadar gitmeleri gerektiğini bilmedikleri yerlere götüren çığır açıcı hikâyeler.

Asimov'un önsözde dediği gibi: ""Burada türün en cesur ve deneysel hâlini bulacaksınız… kışkırtılmanız ve etkilenmeniz dileğiyle!""

Yazarlar:

Lester del Rey, Robert Silverberg, Frederik Pohl, Philip José Farmer, Miriam Allen deFord, Robert Bloch, Harlan Ellison, Brian W. Aldiss, Howard Rodman, Philip K. Dick, Larry Niven, Fritz Leiber, Joe L. Hensley, Poul Anderson, David R. Bunch, James Cross, Carol Emshwiller, Damon Knight, Theodore Sturgeon, Larry Eisenberg, Henry Slesar, Sonya Dorman, John Sladek, Jonathan Brand, Kris Neville, R. A. Lafferty, J. G. Ballard, John Brunner, Keith Laumer, Norman Spinrad, Roger Zelazny, Samuel R. Delany

Tehlikeli Görüler, bilimkurgunun devrimi."
101;"Melankolinin İlacı";"Ray Bradbury";"A Medicine for Melancholy";"Mehmet Moralı";2025;"Ray Bradbury sadece bilimkurgunun değil, fantastik edebiyatın ve korkunun da yirminci yüzyıldaki ustalarından biri. Bilimkurgunun ""iyi edebiyat"" da olabileceğini kanıtlayan belki de ilk yazar. Melankolinin İlacı ise melankoliyi, yalnızlığı ve kaybı derinlemesine işlerken aynı zamanda umut ve neşe aşılıyor.

Sonu gelmeyen bir uzay yolculuğu, uzak bir gezegenden gelen ziyaretçiler, bir çocuğun takıntı hâline getirdiği bir ejderha, kimsenin inmediği bir tren istasyonu, Venüs'te tuhaf bir gün, durmadan yağmur yağan ücra bir kasaba… Bradbury Melankolinin İlacı'nda şairane üslubuyla birbirinden zarif ve sert öyküler anlatıyor yine.

Olağan durumlardaki olağanüstü ayrıntıları göstererek okurları ruhsal bir yolculuğa çıkarıyor Bradbury, hayatın basit anlarında saklı mucizeleri ve kaybolmuş gibi görünen hislerin yeniden bulunma ihtimalini arıyor.

Hiçlik de varlık kadar normal değil mi? Peki ya hüznün içinde mutluluk varlığını sürdürebilir mi?

Melankolinin İlacı, sıradan hayatların sıra dışı hikâyeleri."
102;"Hyperion";"Dan Simmons";"Hyperion Cantos Book One";"Can Kantarcı";2025;"Dan Simmons korku, fantazi ve bilimkurgu eserleriyle üç türü de derinden etkileyen, spekülatif kurgunun yaşayan en önemli isimlerinden biri. ""Uzayda geçen Canterbury Hikâyeleri"" olarak yorumlanan Hyperion Kantoları'nın ilk kitabı Hyperion ise sıklıkla Dune ve Yüzüklerin Efendisi'yle karşılaştırılan bir şaheser."
103;"Mor Bulut";"M. P. Shiel";"The Purple Cloud";"Selin Kurugül";2025;"Edgar Allan Poe'nun tekinsiz gotik mirasını H. G. Wells'in bilimsel hayal gücüyle harmanlayan M. P. Shiel, kıyamet sonrası kurgusunun temellerini atan yazarlardan. Victoria dönemi biterken kaleme aldığı karanlık ve vizyoner metinlerle korku ve bilimkurgu edebiyatının öncülerinden kabul edilen yazarın başyapıtı Mor Bulut ise H. P. Lovecraft'tan Stephen King'e kadar pek çok büyük ismi etkileyen, yirminci yüzyıl bilimkurgusunun ilk büyük romanı ve şimdiye dek yazılmış en çarpıcı ""dünyadaki son insan"" anlatılarından biri.

Ölümcül bir mor bulut dünya üzerinde dolaşarak tüm canlıları yok eder ve geriye yalnızca o sırada Kuzey Kutbu'na ulaşan ilk insan olan Adam Jeffson kalır. Sessiz ve harap olmuş bir gezegende epik bir yolculuğa çıkan Jeffson, geçmiş yaşamının kalıntılarından kendine bir düzen kurmaya çalışan kıyamet sonrası bir Robinson Crusoe'ya dönüşür.

Londra, Paris ve İstanbul gibi şehirlere yolculuk ederek başka insanları arayan ve yıllar geçtikçe akıl sağlığını yitirmeye başlayan Jeffson, hayatta kalışının bir tesadüften ziyade derin, kozmolojik bir planın parçası olduğunu fark edecektir.

Mor Bulut, yalnız gezenin kâbusları."
104;"Yüksek Şatodaki Adam";"Philip K. Dick";"The Man in the High Castle";"Dost Körpe";2025;"Philip K. Dick, gerçeklik, kimlik ve otorite üzerine derin felsefi sorularla bilimkurguyu dönüştüren, birçok filme, diziye ve oyuna esin kaynağı olan, türün en büyük yazarlarından. Çağının ötesinde bir öngörüyle kaleme aldığı Yüksek Şatodaki Adam ise okuru bildiğimiz dünyaya ürkütücü derecede yakın alternatif bir gerçekliğe sürükleyen, bilimkurgunun mihenk taşlarından biri.

Yıl 1947. Nazi Almanyası ve Japon İmparatorluğu, İkinci Dünya Savaşı'nı kazandı. Amerika Birleşik Devletleri bölündü ve Batı Yakası Japonya'nın, Doğu Yakası ise Nazi Almanyası'nın kontrolüne girdi. Orta kısım ise çatışmalarla dolu tarafsız bir bölgeydi.

Yıl 1962. Yeni dünya düzeninde, gerçeklik bile sabit değildi. İnsanlar bir şeylerin ""yanlış"" olduğunu hissediyorlardı. Çekirge Ağır Gelecek Kendine adlı yasaklanmış bir kitap savaşın aslında Müttefikler tarafından kazanıldığını iddia ediyordu. Ve söylentiye göre, bu kitabın ardında ""yüksek şatoda"" yaşayan biri vardı.

Yüksek Şatodaki Adam, kurgunun gerçek, gerçeğin ise kurgu olduğunu hissettiren sarsıcı bir anlatı. Philip K. Dick'in sıradışı zihninden çıkan bu roman, tarihsel olasılıkları, ideolojik kâbusları ve insan olmanın doğasını altüst eden bir başyapıt.

Yüksek Şatodaki Adam, bildiğimiz tarihin bozulmuş bir kopyası."
105;"Rama'yla Buluşma";"Arthur C. Clarke";"Rendezvous with Rama";"Ümit Kayalıoğlu";2025;"Arthur C. Clarke, bilimi edebiyatla eşsizce birleştiren, bilimkurgunun üç büyük ustasından biri. Uzaylılarla ilk temas türünde yazılmış en önemli romanlardan biri olan Rama'yla Buluşma insanlığın evrendeki yerini sorgulatan, hayal gücünün sınırlarını zorlayan heyecan dolu bir keşif hikâyesi.

Güneş sisteminde keşfedilen devasa silindirik bir cisim, insanlık tarihinde eşi benzeri görülmemiş bir keşfin kapısını aralar. ""Rama"" adı verilen bu yabancı yapı, onu incelemek için gönderilen Endeavour gemisinin mürettebatını sessizce beklemektedir.

İçine girildiğinde ise Rama, devasa şehirler, uçsuz bucaksız denizler ve akıl almaz mühendislik harikalarıyla dolu, kendi başına yaşayan bir dünya olarak ortaya çıkar. İnsan zekâsının sınırlarını zorlayan bu yapı, hem insanın evrendeki konumuna hem de insan ırkından çok daha ileri bir uygarlığın varlığına dair derin sorular uyandırır.

Clarke'ın bilimsel titizliği ve edebi ustalığıyla şekillenen Rama'yla Buluşma, keşif arzusunun ve insanın evren karşısındaki kırılganlığının büyüleyici bir anlatısı.

Rama'yla Buluşma, keşfin büyüsünün en saf hâli."
